modelo,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
LightGBM,0.7022692338271541,0.018193774284150747,0.7180096503545792,0.02270054952101696,0.6889624892137455,0.017662922908850433,0.7029999383846239,0.016708839250568458,0.7743528565334966,0.01956536430346301,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,0.7156514191821483,0.02289545480198284,0.7218386842790907,0.025487097400374286,0.7231815643875945,0.023150328932770328,0.7223237379561891,0.021457347388134207,0.7907353732155371,0.020311342153202693,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,0.7226035565685209,0.021808656200242724,0.7215494033747952,0.022001330449007008,0.745340338053906,0.023417166674813878,0.7331502413001059,0.02109477176321801,0.7978874973459739,0.02051020267818788,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,0.7254439085150929,0.026196106365896504,0.7293016134515117,0.02842964410862175,0.7372874473376985,0.027736787883196334,0.7330672507374262,0.025265963699472666,0.8024440107043918,0.02731054896644168,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,0.7267259428086821,0.023096869683379272,0.7252944062996535,0.023060381702649013,0.7498629511192325,0.029145303550261327,0.7371648476047981,0.023103924995748096,0.8059447614009899,0.026202131966204828,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,0.7190065724962235,0.023035558287158014,0.7132415468562023,0.02300057523809254,0.7538957413329272,0.025522912978419174,0.732858884083575,0.02194170439254469,0.8041027152928766,0.024744103905895404,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,0.7280093022023163,0.02292132714239898,0.7281119016651396,0.025569124480396523,0.7483401857773717,0.03276874897659404,0.7376478929099468,0.0230765118524347,0.8088156406319591,0.021524425640365937,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,0.7285181406196168,0.01924617611873255,0.7258026428672572,0.020437289087452265,0.7543804883000863,0.023163648633809805,0.7396539032683191,0.01883118825325823,0.8068185889066607,0.023037442664733933,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,0.7259494341822809,0.023690512014202508,0.7212910711000888,0.02380995372922649,0.7568879752296838,0.02557259727180305,0.7385056622003413,0.022358366626131353,0.8054520412243237,0.023270426312153505,"{'model__max_depth': 9, 'model__n_estimators': 200}"
RandomForest,0.6605676728593008,0.01356334915468305,0.6861423893251877,0.022795328147619285,0.6225343891173037,0.03225530377156358,0.6519471342391053,0.01616638327552062,0.7129713423068356,0.020834844736044474,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
RandomForest,0.6546537513582276,0.015858108090616527,0.684377406197373,0.0246561811302601,0.605418506674788,0.03075744342581526,0.6416838824365063,0.0176805900322737,0.7137981714476028,0.023071251019581872,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
RandomForest,0.6510521294357725,0.01625910720042234,0.6783968625727446,0.022544829672450792,0.6059210192376022,0.030067299020057985,0.6394884481036504,0.018626573758834756,0.7153252223498191,0.023502059307953932,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
RandomForest,0.6605676728593008,0.01356334915468305,0.6861423893251877,0.022795328147619285,0.6225343891173037,0.03225530377156358,0.6519471342391053,0.01616638327552062,0.7128894246554918,0.020778423050177106,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
RandomForest,0.6546537513582276,0.015858108090616527,0.684377406197373,0.0246561811302601,0.605418506674788,0.03075744342581526,0.6416838824365063,0.0176805900322737,0.7137106550575211,0.022987567974188265,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
RandomForest,0.6510521294357725,0.01625910720042234,0.6783968625727446,0.022544829672450792,0.6059210192376022,0.030067299020057985,0.6394884481036504,0.018626573758834756,0.7153252528814551,0.023512249701266995,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
RandomForest,0.6600522089417751,0.014482109569266391,0.6854087126720347,0.023464506694315306,0.6225343891173037,0.033257473281958674,0.6515841633646234,0.0171821089741847,0.7129181472919901,0.020749092523841765,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
RandomForest,0.6546544139082502,0.015676305981920432,0.6843836179636633,0.024446491094503458,0.6054210446170245,0.031049260002421013,0.6416736928411593,0.01766016265804773,0.7136837681356327,0.02284153156745203,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
RandomForest,0.6510521294357725,0.01625910720042234,0.6783968625727446,0.022544829672450792,0.6059210192376022,0.030067299020057985,0.6394884481036504,0.018626573758834756,0.7153065764253281,0.023521997207042143,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
RandomForest,0.6600522089417751,0.014482109569266391,0.6854087126720347,0.023464506694315306,0.6225343891173037,0.033257473281958674,0.6515841633646234,0.0171821089741847,0.7128414480060871,0.020685494927009496,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
