mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
0.6992222158207063,0.015081595249153458,0.707319942543148,0.016990350940128365,0.8711395101171459,0.015004262836640428,0.7804466117390646,0.007571045531940016,0.7598000743414192,0.011836721570646165,"{'model__max_depth': 3, 'model__n_estimators': 50}"
0.7158760794556152,0.010714053912917186,0.7312325792164708,0.016409477575478035,0.8503727369542066,0.017022755445309675,0.7859801144849875,0.00440472745360001,0.7778487701606792,0.009130096862586753,"{'model__max_depth': 3, 'model__n_estimators': 100}"
0.7328586609309085,0.010330865622266067,0.7535488850905377,0.014949443302119721,0.8397231096911608,0.009435593794818615,0.7941260776940764,0.005119323707164527,0.7916131687639857,0.011350317264312354,"{'model__max_depth': 3, 'model__n_estimators': 200}"
0.7286144559031579,0.013248324622586377,0.7439049229024374,0.016954904481051986,0.8514376996805112,0.009130153460853154,0.7938466957238561,0.007027361005733193,0.7931793338929468,0.010996843573764674,"{'model__max_depth': 6, 'model__n_estimators': 50}"
0.7400450026566291,0.014303581724701937,0.7607144217616401,0.016415124604602583,0.8413205537806178,0.0019923628257582284,0.79888887563033,0.008805824662026883,0.8050452669034177,0.01262314869398881,"{'model__max_depth': 6, 'model__n_estimators': 100}"
0.7511458713423339,0.007101499142510781,0.7744562445263105,0.009056137341353004,0.8386581469648563,0.001304307637264755,0.8052442995712322,0.0042940778019042655,0.8114247292789205,0.012977856582532948,"{'model__max_depth': 6, 'model__n_estimators': 200}"
0.7413537925780824,0.018058973357840118,0.7625401764809293,0.019569045639706076,0.8407880724174653,0.009435593794818615,0.7996122885292692,0.01204295359850953,0.7991068012613133,0.01491389695502911,"{'model__max_depth': 9, 'model__n_estimators': 50}"
0.7491876476349599,0.008902307466601317,0.7741113823013724,0.015005867776272655,0.8354632587859424,0.009847306714007922,0.803434130275174,0.004441192316550482,0.8081761977854004,0.013922989178238983,"{'model__max_depth': 9, 'model__n_estimators': 100}"
0.744939281621888,0.004612472682464029,0.7745998556326782,0.008957155029614238,0.8242811501597443,0.013237276778121452,0.7985337497364576,0.0038918795424835294,0.8093716480412808,0.009685454085607847,"{'model__max_depth': 9, 'model__n_estimators': 200}"
0.6574135955394237,0.005606153635892712,0.6546033952984004,0.0021898733652265094,0.9345047923322684,0.01361737151495678,0.7698679824020372,0.005285338876928917,0.7004828514176841,0.004036514025450363,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
0.659702137466152,0.008818533906129966,0.6546199659471381,0.005601330338179184,0.9424920127795527,0.012845940449217056,0.7725716308254222,0.006273126171769007,0.7070307555459937,0.006980764191753634,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
0.6623152362479434,0.007467462593732223,0.6554199925146864,0.005405810480326001,0.9478168264110756,0.007969451303032903,0.774928883757282,0.0045961590936466346,0.7051051663522689,0.008055505223865141,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
0.6574135955394237,0.005606153635892712,0.6546033952984004,0.0021898733652265094,0.9345047923322684,0.01361737151495678,0.7698679824020372,0.005285338876928917,0.7005029387921176,0.0038852785346716,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
0.659375660156325,0.00866819430719838,0.6543830196759864,0.005638651705454024,0.9424920127795527,0.012845940449217056,0.7724038875034068,0.006131020607430985,0.7070469048233443,0.006917276672409293,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
0.6619887589381165,0.007491283869253498,0.6551834404968977,0.0055258205561125855,0.9478168264110756,0.007969451303032903,0.7747614195422914,0.004537388558572088,0.7050808945358442,0.008046473946330793,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
0.6570874383053907,0.00573094335265849,0.6542486610211068,0.0026001082662181815,0.9350372736954208,0.013322679449623861,0.7698032047772975,0.005225966698511427,0.7009713516609839,0.003607752015277123,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
0.6606825296230148,0.009760489485029321,0.6550125914815795,0.0063747712272469136,0.9440894568690096,0.011954176954549312,0.7733846612031267,0.006573015637189803,0.7070062647563167,0.006841497288738991,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
0.6623152362479434,0.00711665657207519,0.6553021787144625,0.005155559115724019,0.9483493077742279,0.007861993109815451,0.7750256504239684,0.004413961205350033,0.705080884271473,0.008089604429281578,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
0.6570874383053907,0.00573094335265849,0.6542486610211068,0.0026001082662181815,0.9350372736954208,0.013322679449623861,0.7698032047772975,0.005225966698511427,0.7008756398210251,0.0037227691289376326,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
0.6603560523131877,0.009658072212871807,0.6547756452104277,0.006422091716134068,0.9440894568690096,0.011954176954549312,0.7732169178811112,0.006458683853654954,0.7069752595123863,0.006854302823287435,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
