mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
0.7435897435897436,0.010511310342373308,0.752413217459616,0.04518423474209939,0.4940898345153664,0.04219046878859278,0.593702696115719,0.022359050933028864,0.800407659780487,0.012508039471631368,"{'model__max_depth': 3, 'model__n_estimators': 50}"
0.761583445793972,0.008558838322285382,0.750940566072145,0.03577803832519582,0.5650118203309692,0.04219046878859282,0.6426364949383209,0.018381224372355533,0.8155899607019061,0.016164779010815495,"{'model__max_depth': 3, 'model__n_estimators': 100}"
0.7629329734592893,0.014380897312771734,0.7276283328194912,0.03380005017228801,0.6063829787234043,0.020267645625865544,0.6607720416787582,0.015336216167912756,0.8266055305757711,0.017092881186963293,"{'model__max_depth': 3, 'model__n_estimators': 200}"
0.771030139451192,0.009998250459241055,0.7570732738137266,0.03352299402620936,0.5910165484633569,0.03292763186095536,0.6623857354814143,0.015154121829940559,0.831185586921924,0.01481669564066862,"{'model__max_depth': 6, 'model__n_estimators': 50}"
0.7723796671165092,0.006456455283134208,0.7417012697080657,0.02562778706604614,0.6205673758865248,0.0379725257782719,0.6743066537091608,0.01499411288743424,0.8347033586221461,0.013020838291729675,"{'model__max_depth': 6, 'model__n_estimators': 100}"
0.7728295096716149,0.010472736596331826,0.7336578052273541,0.02702621283311885,0.6359338061465721,0.02595094373534296,0.6804862971963322,0.012929089172363647,0.8306190351107609,0.010074991908608671,"{'model__max_depth': 6, 'model__n_estimators': 200}"
0.7804768331084121,0.009500095403483066,0.757638543119714,0.035997785124786734,0.6276595744680851,0.029384876819517854,0.685085677273392,0.006984764807601671,0.8343273742383741,0.013461760152576543,"{'model__max_depth': 9, 'model__n_estimators': 50}"
0.782276203328835,0.0006361734423630193,0.7560541596667963,0.020837307073507255,0.6347517730496454,0.03763991330517885,0.6888330245983224,0.012706792733202465,0.8327899586417177,0.009453010631259402,"{'model__max_depth': 9, 'model__n_estimators': 100}"
0.7845254161043634,0.007336710045119268,0.7521095130718143,0.026752808820808455,0.6501182033096926,0.019278376395153788,0.6966700032145728,0.0018338036162724271,0.8326998253990329,0.00811938491697982,"{'model__max_depth': 9, 'model__n_estimators': 200}"
0.7103013945119209,0.007169310594021265,0.8297328888294236,0.03937444426675113,0.30141843971631205,0.011581511786208873,0.4418793865641108,0.013429682025040949,0.7494141339225472,0.016828040796758523,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
0.7107512370670266,0.008974330788690992,0.8191925388527329,0.038932219672231594,0.30851063829787234,0.010439433648141679,0.4480949295393944,0.015333148547911957,0.75103266943762,0.013957068943664032,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
0.7103013945119209,0.007169310594021265,0.822813458336984,0.03344193917449401,0.3049645390070922,0.013268288605581345,0.44472336201202717,0.015377566893011117,0.7540534206853217,0.013299860923746389,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
0.7103013945119209,0.007169310594021265,0.8297328888294236,0.03937444426675113,0.30141843971631205,0.011581511786208873,0.4418793865641108,0.013429682025040949,0.7493574787414309,0.016756738741014958,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
0.7103013945119208,0.008343336478178797,0.8163919413919413,0.035008763468159856,0.30851063829787234,0.010439433648141679,0.4476911882030106,0.01482349430448419,0.7508833057783134,0.01390247464536767,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
0.7103013945119209,0.007169310594021265,0.822813458336984,0.03344193917449401,0.3049645390070922,0.013268288605581345,0.44472336201202717,0.015377566893011117,0.7539529865006154,0.013331803069024676,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
0.7094017094017094,0.006641845731099161,0.8269445271594829,0.040603818681775095,0.30023640661938533,0.011701530657933406,0.44012549774224735,0.012383641295605515,0.749609851820949,0.01692596011462768,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50}"
0.7107512370670266,0.008122118796791653,0.8153567447045708,0.0359342677537787,0.3108747044917258,0.011701530657933426,0.44992452025771873,0.015009546632006312,0.7506850126444063,0.014048125187479856,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}"
0.7103013945119209,0.007169310594021265,0.8210948486152964,0.03485473490847644,0.3061465721040189,0.014573082749335638,0.44563739021936283,0.016068585195209144,0.7540920492179009,0.013365562454996878,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
0.7094017094017094,0.006641845731099161,0.8269445271594829,0.040603818681775095,0.30023640661938533,0.011701530657933406,0.44012549774224735,0.012383641295605515,0.749609851820949,0.01692596011462768,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
0.7107512370670266,0.008122118796791653,0.8153567447045708,0.0359342677537787,0.3108747044917258,0.011701530657933426,0.44992452025771873,0.015009546632006312,0.7506901631154169,0.014041186731564919,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
